ID,Curso,Status,Link,Conteudista,Horas
196,Funpresp - A previdência complementar do servidor público federal,Normal,https://www.escolavirtual.gov.br/curso/196,FUNPRESP - Fundação de Previdência Complementar do Servidor Público Federal do Poder Executivo,40h
218,Tratamento de Denúncias em Ouvidoria para Ministério Público,Normal,https://www.escolavirtual.gov.br/curso/218,Controladoria Geral da União,20h
217,Prevenção à lavagem de dinheiro e ao financiamento do terrorismo,Normal,https://www.escolavirtual.gov.br/curso/217,Conselho de Controle de Atividades Financeiras - CCAF,20h
214,Gestão em Ouvidoria para o Ministério Público,Normal,https://www.escolavirtual.gov.br/curso/214,Controladoria Geral da União,20h
198,Noções Básicas para Coordenar Cursos On-line,Normal,https://www.escolavirtual.gov.br/curso/198,Enap - Escola Nacional de Administração Pública,20h
200,Preparação para Aposentadoria - Caminhos,Normal,https://www.escolavirtual.gov.br/curso/200,Secretaria Especial da Receita Federal do Brasil,40h
153,Introdução à Lei Brasileira de Proteção de Dados Pessoais,Normal,https://www.escolavirtual.gov.br/curso/153,ITS Rio,10h
125,Gestão Tributária Municipal,Normal,https://www.escolavirtual.gov.br/curso/125,Instituto Brasileiro de Administração Municipal - IBAM,30h
210,Marco Regulatório das Organizações da Sociedade Civil - MROSC,Normal,https://www.escolavirtual.gov.br/curso/210,Ministério da Fazenda,20h
124,Políticas Públicas e Governo Local,Normal,https://www.escolavirtual.gov.br/curso/124,Instituto Brasileiro de Administração Municipal - IBAM,40h
163,Gestão Pessoal - Base da Liderança,Normal,https://www.escolavirtual.gov.br/curso/163,Secretaria Especial da Receita Federal do Brasil,50h
142,Análise Ex Ante de Políticas Públicas,Normal,https://www.escolavirtual.gov.br/curso/142,Casa Civil da Presidência da República,40h
149,Promoção dos direitos da população em situação de rua,Normal,https://www.escolavirtual.gov.br/curso/149,Ministério dos Direitos Humanos e Cidadania,30h
140,Governo Aberto,Normal,https://www.escolavirtual.gov.br/curso/140,Delft University of Technology,40h
141,Formação de Facilitadores de Aprendizagem,Normal,https://www.escolavirtual.gov.br/curso/141,Empresa Brasileira de Pesquisa e Agropecuária - EMBRAPA,40h
